년,월,실업률
2017.0,4.0,4.2
2017.0,5.0,3.6
2017.0,6.0,3.8
2017.0,7.0,3.4
2017.0,8.0,3.6
2017.0,9.0,3.3
2017.0,10.0,3.2
2017.0,11.0,3.1
2017.0,12.0,3.3
2018.0,1.0,3.7
2018.0,2.0,4.6
2018.0,3.0,4.5
2018.0,4.0,4.1
2018.0,5.0,4.0
2018.0,6.0,3.7
2018.0,7.0,3.7
2018.0,8.0,4.0
2018.0,9.0,3.6
2018.0,10.0,3.5
2018.0,11.0,3.2
2018.0,12.0,3.4
2019.0,1.0,4.5
2019.0,2.0,4.7
2019.0,3.0,4.3
2019.0,4.0,4.4
2019.0,5.0,4.0
2019.0,6.0,4.0
2019.0,7.0,3.9
2019.0,8.0,3.0
2019.0,9.0,3.1
2019.0,10.0,3.0
2019.0,11.0,3.1
2019.0,12.0,3.4
2020.0,1.0,4.1
2020.0,2.0,4.1
2020.0,3.0,4.2
2020.0,4.0,4.2
2020.0,5.0,4.5
2020.0,6.0,4.3
2020.0,7.0,4.0
2020.0,8.0,3.1
2020.0,9.0,3.6
2020.0,10.0,3.7
2020.0,11.0,3.4
2020.0,12.0,4.1
2021.0,1.0,5.7
2021.0,2.0,4.9
2021.0,3.0,4.3
2021.0,4.0,4.0
2021.0,5.0,4.0
2021.0,6.0,3.8
2021.0,7.0,3.2
2021.0,8.0,2.6
2021.0,9.0,2.7
2021.0,10.0,2.8
2021.0,11.0,2.6
2021.0,12.0,3.5
2022.0,1.0,4.1
2022.0,2.0,3.4
2022.0,3.0,3.0
2022.0,4.0,3.0
2022.0,5.0,3.0
2022.0,6.0,3.0
2022.0,7.0,2.9
2022.0,8.0,2.1
2022.0,9.0,2.4
2022.0,10.0,2.4
2022.0,11.0,2.3
2022.0,12.0,3.0
2023.0,1.0,3.6
2023.0,2.0,3.1
2023.0,3.0,2.9
2023.0,4.0,2.8
2023.0,5.0,2.7
2023.0,6.0,2.7
2023.0,7.0,2.7
