,Features,VIF
0,TC_index,86.49673798862861
1,CA_index,79.16750176226395
2,IR,8.27251686562034
3,YearMonth_encoded,7.651492450138375
4,HSP_index,5.977851150160791
5,SDT_index,4.999372056631323
6,UR,1.369120050162755
7,Floor,1.3376924027224593
8,Crime_Rates,1.3133816476014608
9,Population,1.1600573759643338
