Sell_Price,Sell_Count,JS_Price,JS_Count,CR,UR,LC_index,CA_index,TC_index,SDT_index,IR,Crime_Rates,Total_Pop,Univ_Counts,Park_Counts,School_Counts,Subway_Counts
33081.84,133,22398.04,556,67.7,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,475852,7.0,3,60,9
60540.14,197,34434.28,1048,56.88,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,669058,1.0,7,89,28
43244.75,101,25197.17,462,58.27,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,492793,0.0,5,64,5
33998.12,88,24131.55,393,70.98,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,387175,0.0,5,44,11
62234.85,33,32621.01,238,52.42,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,235931,2.0,2,34,10
30499.97,76,20363.83,378,66.77,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,489536,1.0,7,66,13
48920.89,18,27302.63,76,55.81,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,161487,6.0,12,36,15
52323.06,35,31836.19,105,60.85,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,129204,2.0,4,31,23
27998.51,67,18152.06,214,64.83,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,415245,1.0,6,48,8
78810.54,233,39309.37,826,49.88,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,554870,1.0,7,77,21
45974.04,216,22108.52,622,48.09,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,484742,0.0,7,60,14
28703.91,64,19002.19,163,66.2,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,338041,1.0,4,34,3
31907.39,165,19955.24,498,62.54,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,561431,2.0,9,80,9
29930.01,118,21986.94,314,73.46,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,517095,1.0,2,55,4
46499.03,68,31210.19,215,67.12,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,366312,3.0,2,42,11
30277.78,143,18735.87,449,61.88,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,422946,3.0,4,54,7
