학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000002008,서울영림초등학교,초등학교,1982-10-04,공립,본교,운영,서울특별시 영등포구 대림동 993-16,서울특별시 영등포구 시흥대로173길 14 . 서울영림초등학교 (대림동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.4872977,126.9025393,2023-03-22
B000002125,서울평화초등학교,초등학교,1992-10-21,공립,본교,운영,서울특별시 송파구 가락동 106,서울특별시 송파구 송파대로26길 22 . 서울평화초등학교 (가락동),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.49162927,127.1223566,2023-03-22
B000002213,서울양동초등학교,초등학교,1972-08-11,공립,본교,운영,서울특별시 양천구 신정동 941,서울특별시 양천구 오목로23길 24 (신정동),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.52600601,126.8511587,2023-03-22
B000001876,서울중화초등학교,초등학교,1946-11-07,공립,본교,운영,서울특별시 중랑구 신내동 531,서울특별시 중랑구 신내로7가길 22 . 서울중화초등학교 (신내동),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.60300324,127.0946485,2023-03-22
B000002058,서울상월초등학교,초등학교,1990-05-29,공립,본교,운영,서울특별시 노원구 상계동 697,서울특별시 노원구 동일로221길 27 (상계동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.65848709,127.0571716,2023-03-22
B000001868,서울중목초등학교,초등학교,1997-11-04,공립,본교,운영,서울특별시 중랑구 면목동 180-5,서울특별시 중랑구 동일로 665 . 서울중목초등학교 (면목동),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.58997982,127.0793361,2023-03-22
B000002310,서울동작초등학교,초등학교,1983-04-06,공립,본교,운영,서울특별시 동작구 사당동 산9-1,서울특별시 동작구 동작대로29길 214 . 서울동작초등학교 (사당동),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.49410161,126.9768411,2023-03-22
B000002198,서울갈산초등학교,초등학교,1988-03-01,공립,본교,운영,서울특별시 양천구 신정동 330-10,서울특별시 양천구 목동로 31 (신정동.서울갈산초등학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.51174342,126.8699978,2023-03-22
B000002049,서울태랑초등학교,초등학교,2001-06-11,공립,본교,운영,서울특별시 노원구 공릉동 116,서울특별시 노원구 화랑로51나길 31 . 서울태랑초등학교 (공릉동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.62637772,127.0907213,2023-03-22
B000002065,서울한천초등학교,초등학교,1984-05-07,공립,본교,운영,서울특별시 노원구 월계동 3-7,서울특별시 노원구 마들로 45 . 서울한천초등학교 (월계동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.62015506,127.0688927,2023-03-22
B000002295,서울신구초등학교,초등학교,1981-11-03,공립,본교,운영,서울특별시 강남구 신사동 550-11,서울특별시 강남구 압구정로18길 28 (신사동.신구초등학교),7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2022-10-06,37.52318884,127.0242775,2023-03-22
B000001877,서울봉화초등학교,초등학교,1996-09-19,공립,본교,운영,서울특별시 중랑구 신내동 655,서울특별시 중랑구 신내로15길 110 (신내동.봉화초등학교),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.61331383,127.0921725,2023-03-22
B000002202,서울양원초등학교,초등학교,1991-05-06,공립,본교,운영,서울특별시 양천구 신월동 260-1,서울특별시 양천구 화곡로 16 (신월동.서울양원초등학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.53865393,126.8234816,2023-03-22
B000001873,서울상봉초등학교,초등학교,1983-10-25,공립,본교,운영,서울특별시 중랑구 상봉동 312-1,서울특별시 중랑구 동일로126가길 11 . 서울상봉초등학교 (상봉동),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.59809416,127.0836798,2023-03-22
B000002069,서울원광초등학교,초등학교,1992-04-30,공립,본교,운영,서울특별시 노원구 중계동 359,서울특별시 노원구 덕릉로76길 18 (중계동.원광초등학교),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.6540189,127.0748416,2023-03-22
B000002068,서울월계초등학교,초등학교,1993-05-06,공립,본교,운영,서울특별시 노원구 월계동 561,서울특별시 노원구 월계로45가길 10 (월계동.월계초등학교),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.62762424,127.0508421,2023-03-22
B000025289,서울송례초등학교,초등학교,2014-03-03,공립,본교,운영,서울특별시 송파구 장지동 898,서울특별시 송파구 위례순환로 439 (장지동. 서울송례초등학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.47773418,127.1385039,2023-03-22
B000002306,서울강남초등학교,초등학교,1945-11-02,공립,본교,운영,서울특별시 동작구 상도1동 501-1,서울특별시 동작구 강남초등길 15 (상도1동. 강남초등학교),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.50619275,126.9532007,2023-03-22
B000002256,서울원촌초등학교,초등학교,1979-09-01,공립,본교,운영,서울특별시 서초구 반포동 21,서울특별시 서초구 사평대로45길 26 (반포동.서울원촌초등학교),7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2022-10-06,37.50603606,127.0127721,2023-03-22
B000002129,서울가원초등학교,초등학교,1989-03-01,공립,본교,운영,서울특별시 송파구 문정동 150-10,서울특별시 송파구 중대로4길 8 (문정동. 가원초등학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.4891201,127.1114055,2023-03-22
B000001867,서울면동초등학교,초등학교,1978-09-01,공립,본교,운영,서울특별시 중랑구 면목동 551,서울특별시 중랑구 면목로57길 32 . 서울면동초등학교 (면목동. 면동초등학교),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.58526987,127.0866805,2023-03-22
B000002095,상명대학교사범대학부속초등학교,초등학교,1966-05-17,사립,본교,운영,서울특별시 종로구 홍지동 56,서울특별시 종로구 홍지문2길 1 (홍지동. 상명초등학교),7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2022-10-06,37.60075792,126.9563523,2023-03-22
B000002219,서울신곡초등학교,초등학교,1984-10-22,공립,본교,운영,서울특별시 강서구 화곡동 476-42,서울특별시 강서구 등촌로13자길 42-14 (화곡동.신곡초등학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.53877767,126.8558353,2023-03-22
B000001894,서울불광초등학교,초등학교,1962-04-18,공립,본교,운영,서울특별시 은평구 불광동 272-2,서울특별시 은평구 불광로 51 . 서울불광초등학교 (불광동),7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2022-10-06,37.61258244,126.9309092,2023-03-22
B000001875,서울신내초등학교,초등학교,1994-03-01,공립,본교,운영,서울특별시 중랑구 신내동 444,서울특별시 중랑구 용마산로125나길 22 (신내동.신내초등학교),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.60437742,127.0999812,2023-03-22
B000001866,서울중곡초등학교,초등학교,1967-09-05,공립,본교,운영,서울특별시 중랑구 면목동 380,서울특별시 중랑구 면목로23길 20 (면목동.중곡초등학교),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.57436078,127.0835305,2023-03-22
B000001850,서울전농초등학교,초등학교,1942-04-08,공립,본교,운영,서울특별시 동대문구 전농동 298,서울특별시 동대문구 사가정로 66 . 서울전농초등학교 (전농동),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.5744176,127.0544089,2023-03-22
B000002135,서울잠실초등학교,초등학교,1975-09-01,공립,본교,운영,서울특별시 송파구 신천동 20-2,서울특별시 송파구 올림픽로35길 20 (신천동.잠실초등학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.52010753,127.11127,2023-03-22
B000002289,서울논현초등학교,초등학교,1972-11-23,공립,본교,운영,서울특별시 강남구 논현동 168,서울특별시 강남구 강남대로120길 33 (논현동.논현초등학교),7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2022-10-06,37.5084232,127.0261867,2023-03-22
B000002281,서울구룡초등학교,초등학교,1985-05-06,공립,본교,운영,서울특별시 강남구 개포동 655,서울특별시 강남구 개포로 263 (개포동.구룡초등학교),7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2022-10-06,37.48080548,127.051891,2023-03-22
B000002089,서울독립문초등학교,초등학교,1957-09-28,공립,본교,운영,서울특별시 종로구 무악동 46-82,서울특별시 종로구 통일로12길 23 (무악동. 독립문초등학교),7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2022-10-06,37.57413657,126.9602466,2023-03-22
B000002117,서울한남초등학교,초등학교,1906-09-23,공립,본교,운영,서울특별시 용산구 한남동 726-1,서울특별시 용산구 한남대로 112 . 서울한남초등학교 (한남동),7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2022-10-06,37.5393989,127.0049096,2023-03-22
B000022762,서울공진초등학교,초등학교,1992-11-05,공립,본교,운영,서울특별시 강서구 마곡동 730-676,서울특별시 강서구 마곡서로 33(마곡동) 서울공진초등학교,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.55780477,126.82273,2023-03-22
B000002346,서울신성초등학교,초등학교,1982-10-11,공립,본교,운영,서울특별시 관악구 신림동 118-1,서울특별시 관악구 신림로 114 . 서울신성초등학교 (신림동),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.47179668,126.9372757,2023-03-22
B000002314,서울영화초등학교,초등학교,1962-09-03,공립,본교,운영,서울특별시 동작구 대방동 13-2,서울특별시 동작구 등용로8길 3 . 서울영화초등학교 (대방동),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.50914588,126.9331672,2023-03-22
B000025000,서울자곡초등학교,초등학교,2014-10-24,공립,본교,운영,서울특별시 강남구 자곡동 642,서울특별시 강남구 자곡로 150 (자곡동),7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-12-02,2022-10-06,37.47206129,127.0996665,2023-03-22
B000002088,서울명신초등학교,초등학교,1971-10-06,공립,본교,운영,서울특별시 종로구 창신동 7-40,서울특별시 종로구 낙산길 250 (창신동),7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2022-10-06,37.58146865,127.0139642,2023-03-22
B000002255,서울서원초등학교,초등학교,1985-04-22,공립,본교,운영,서울특별시 서초구 반포동 30-8,서울특별시 서초구 고무래로 63 . 서울서원초등학교 (반포동),7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2022-10-06,37.50261842,127.0152191,2023-03-22
B000025373,서울위례솔초등학교,초등학교,2022-03-01,공립,본교,운영,서울특별시 송파구 거여동  649,서울특별시 송파구 위례북로2길 12 (거여동. 서울위례솔초등학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.48663746,127.1509109,2023-03-22
B000002143,서울마천초등학교,초등학교,1978-05-04,공립,본교,운영,서울특별시 송파구 마천동 183-4,서울특별시 송파구 마천로61다길 24 . 서울마천초등학교 (마천동),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.49535028,127.1522973,2023-03-22
B000002131,서울잠일초등학교,초등학교,1976-03-12,공립,본교,운영,서울특별시 송파구 잠실동 19-1,서울특별시 송파구 올림픽로 95 서울잠일초등학교 (잠실동),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.51505804,127.0814177,2023-03-22
B000002138,서울가주초등학교,초등학교,1996-11-08,공립,본교,운영,서울특별시 송파구 가락동 140-6,서울특별시 송파구 오금로40길 37 (가락동. 가주초등학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.49662263,127.1292617,2023-03-22
B000001870,서울원묵초등학교,초등학교,1995-11-10,공립,본교,운영,서울특별시 중랑구 묵동 11,서울특별시 중랑구 숙선옹주로 109 . 서울원묵초등학교 (묵동),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.61768065,127.0861068,2023-03-22
B000001845,서울장평초등학교,초등학교,1980-04-04,공립,본교,운영,서울특별시 동대문구 장안동 323,서울특별시 동대문구 답십리로69길 27 (장안동. 서울장평초등학교),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.57380744,127.0733241,2023-03-22
B000001986,서울안천초등학교,초등학교,1991-10-04,공립,본교,운영,서울특별시 금천구 독산동 1090,서울특별시 금천구 한내로 69-16 . 서울안천초등학교 (독산동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.45817893,126.8885094,2023-03-22
B000002279,서울대진초등학교,초등학교,1992-10-26,공립,본교,운영,서울특별시 강남구 개포동 13,서울특별시 강남구 개포로109길 74 . 서울대진초등학교 (개포동),7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2022-10-06,37.49668479,127.0780425,2023-03-22
B000002144,서울오륜초등학교,초등학교,1989-04-19,공립,본교,운영,서울특별시 송파구 방이동 89-16,서울특별시 송파구 양재대로 1196 . 서울오륜초등학교 (방이동),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.51208485,127.1345763,2023-03-22
B000001958,서울개명초등학교,초등학교,1984-05-04,공립,본교,운영,서울특별시 구로구 개봉동 314-165,서울특별시 구로구 개봉로1다길 16-9 (개봉동.개명초등학교),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.48312265,126.8507003,2023-03-22
B000002205,서울신강초등학교,초등학교,1984-06-01,공립,본교,운영,서울특별시 양천구 신월동 864,서울특별시 양천구 중앙로55길 72 . 서울신강초등학교 (신월동.서울신강초등학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.5259562,126.8416536,2023-03-22
B000001982,서울가산초등학교,초등학교,1984-06-14,공립,본교,운영,서울특별시 금천구 독산동 143-23,서울특별시 금천구 남부순환로 1304-11 . 서울가산초등학교 (독산동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.47794535,126.896405,2023-03-22
B000002227,서울정곡초등학교,초등학교,1993-09-23,공립,본교,운영,서울특별시 강서구 방화동 836,서울특별시 강서구 방화대로50길 22 (방화동.정곡초등학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.57695491,126.8188827,2023-03-22
B000002291,서울대곡초등학교,초등학교,1982-04-02,공립,본교,운영,서울특별시 강남구 대치동 510,서울특별시 강남구 남부순환로 3022 서울대곡초등학교 (대치동.대곡초등학교),7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2022-10-06,37.49439753,127.0651645,2023-03-22
B000002150,서울오금초등학교,초등학교,1993-10-28,공립,본교,운영,서울특별시 송파구 오금동 7,서울특별시 송파구 위례성대로22길 11 (오금동.오금초등학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.50915569,127.1317971,2023-03-22
B000002315,서울신길초등학교,초등학교,1964-03-12,공립,본교,운영,서울특별시 동작구 대방동 351-6,서울특별시 동작구 알마타길 16 (대방동),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.51038715,126.9266448,2023-03-22
B000001954,서울미래초등학교,초등학교,2002-03-01,공립,본교,운영,서울특별시 구로구 구로동 3-13,서울특별시 구로구 새말로 73 . 서울미래초등학교 (구로동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.50520381,126.8880137,2023-03-22
B000002214,서울월촌초등학교,초등학교,1986-04-17,공립,본교,운영,서울특별시 양천구 목동 901-1,서울특별시 양천구 목동중앙로 132 (목동.서울월촌초등학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.54023674,126.8767678,2023-03-22
B000002192,서울은정초등학교,초등학교,1996-07-10,공립,본교,운영,서울특별시 양천구 신정동 276-2,서울특별시 양천구 목동남로 85 서울은정초등학교,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.51125774,126.8673755,2023-03-22
B000002215,서울영도초등학교,초등학교,1986-11-27,공립,본교,운영,서울특별시 양천구 목동 903-1,서울특별시 양천구 목동중앙로 70 . 서울영도초등학교 (목동.서울영도초등학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.53596257,126.871927,2023-03-22
B000002139,서울가동초등학교,초등학교,1990-04-25,공립,본교,운영,서울특별시 송파구 가락동 163,서울특별시 송파구 중대로20길 47 (가락동),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.49713482,127.1303876,2023-03-22
B000002025,서울신방학초등학교,초등학교,1986-04-24,공립,본교,운영,서울특별시 도봉구 방학동 310,서울특별시 도봉구 시루봉로 173 . 서울신방학초등학교 (방학동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.66559481,127.0295856,2023-03-22
B000002054,서울신상계초등학교,초등학교,1970-05-22,공립,본교,운영,서울특별시 노원구 상계동 86-1,서울특별시 노원구 상계로 267 . 신상계초등학교 (상계동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.66814915,127.0755891,2023-03-22
B000002217,서울우장초등학교,초등학교,1983-06-10,공립,본교,운영,서울특별시 강서구 화곡동 18-5,서울특별시 강서구 화곡로 263 (화곡동.서울우장초등학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.54880324,126.8462805,2023-03-22
B000002253,서울교육대학교부설초등학교,초등학교,1953-04-15,국립,본교,운영,서울특별시 서초구 서초동 1650,서울특별시 서초구 서초중앙로 96 (서초동. 서울교대초등학교),7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2022-10-06,37.49087951,127.0150822,2023-03-22
B000002153,서울잠전초등학교,초등학교,1981-11-26,공립,본교,운영,서울특별시 송파구 잠실동 229,서울특별시 송파구 올림픽로12길 51 .  (잠실동. 서울잠전초등학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.50678211,127.0842067,2023-03-22
B000001957,서울개웅초등학교,초등학교,1998-10-25,공립,본교,운영,서울특별시 구로구 개봉동 273-16,서울특별시 구로구 개봉로11길 98 (개봉동.개웅초등학교),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2023-03-15,37.48839858,126.850121,2023-03-22
B000002048,서울연촌초등학교,초등학교,1945-11-10,공립,본교,운영,서울특별시 노원구 하계동 154-12,서울특별시 노원구 공릉로58길 36 . 서울연촌초등학교 (하계동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.63498895,127.0727394,2023-03-22
B000002222,서울염경초등학교,초등학교,2005-10-26,공립,본교,운영,서울특별시 강서구 염창동 79,서울특별시 강서구 양천로69길 49 (염창동.서울염경초등학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.55512713,126.8711608,2023-03-22
B000001993,동광초등학교,초등학교,2001-03-05,사립,본교,운영,서울특별시 금천구 시흥동 산100-6,서울특별시 금천구 탑골로10길 45 (시흥동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.45199688,126.9166976,2023-03-22
B000002082,서울대학교사범대학부설초등학교,초등학교,1946-08-22,국립,본교,운영,서울특별시 종로구 동숭동 199-51,서울특별시 종로구 대학로 64 (동숭동.서울사대부설초등학교),7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2022-10-06,37.57778205,127.0029147,2023-03-22
B000001927,이화여자대학교사범대학부속초등학교,초등학교,1955-09-01,사립,본교,운영,서울특별시 서대문구 대신동 20,서울특별시 서대문구 성산로 512-39 (대신동),7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2022-10-06,37.56099648,126.9427504,2023-03-22
B000001961,서울개봉초등학교,초등학교,1971-09-01,공립,본교,운영,서울특별시 구로구 개봉동 266,서울특별시 구로구 개봉로16길 30-11 (개봉동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.48972738,126.858306,2023-03-22
B000001946,서울염리초등학교,초등학교,1983-11-22,공립,본교,운영,서울특별시 마포구 염리동 173-4,서울특별시 마포구 토정로37길 37 . 서울염리초등학교 (염리동),7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2022-10-06,37.54244648,126.945885,2023-03-22
B000002047,서울중계초등학교,초등학교,1975-10-02,공립,본교,운영,서울특별시 노원구 중계동 449-2,서울특별시 노원구 한글비석로19길 39 . 서울중계초등학교 (중계동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.65751566,127.0732694,2023-03-22
B000002016,서울윤중초등학교,초등학교,1980-04-04,공립,본교,운영,서울특별시 영등포구 여의도동 38,서울특별시 영등포구 여의나루로2길 14 (여의도동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.51991462,126.9230217,2023-03-22
B000002074,서울중현초등학교,초등학교,1990-04-27,공립,본교,운영,서울특별시 노원구 하계동 272-2,서울특별시 노원구 섬밭로 181 . 서울중현초등학교 (하계동.중현초등학교),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.6321062,127.0665372,2023-03-22
B000001987,서울금천초등학교,초등학교,1984-04-17,공립,본교,운영,서울특별시 금천구 시흥동 218-1,서울특별시 금천구 탑골로5길 60 (시흥동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.45464753,126.9125446,2023-03-22
B000002266,서울방현초등학교,초등학교,1990-11-02,공립,본교,운영,서울특별시 서초구 방배동 산81-1,서울특별시 서초구 효령로4길 58 (방배동.방현초등학교),7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2022-10-06,37.47648995,126.99015,2023-03-22
B000002204,서울강서초등학교,초등학교,1980-10-18,공립,본교,운영,서울특별시 양천구 신월동 441,서울특별시 양천구 오목로 31 (신월동. 서울강서초등학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.522293,126.8405408,2023-03-22
B000002073,서울용동초등학교,초등학교,1991-04-23,공립,본교,운영,서울특별시 노원구 중계동 510-1,서울특별시 노원구 한글비석로1길 81-11 (중계동.용동초등학교),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.64148227,127.0693935,2023-03-22
B000002075,서울중평초등학교,초등학교,1988-04-25,공립,본교,운영,서울특별시 노원구 하계동 271,서울특별시 노원구 섬밭로 241 . 서울중평초등학교 (하계동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.63730543,127.0641719,2023-03-22
B000002031,서울자운초등학교,초등학교,1997-03-03,공립,본교,운영,서울특별시 도봉구 창동 181-19,서울특별시 도봉구 마들로13길 166 . 서울자운초등학교 (창동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.65756505,127.0465597,2023-03-22
B000002101,서울신당초등학교,초등학교,2007-03-01,공립,본교,운영,서울특별시 중구 신당동 161-2,서울특별시 중구 난계로 141 (신당동),7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2022-10-06,37.56385487,127.0237242,2023-03-22
B000001865,서울면중초등학교,초등학교,1976-06-05,공립,본교,운영,서울특별시 중랑구 면목동 491-1,서울특별시 중랑구 용마산로70길 43 . 서울면중초등학교 (면목동),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.58216276,127.0967221,2023-03-22
B000002335,서울봉천초등학교,초등학교,1967-11-25,공립,본교,운영,서울특별시 관악구 봉천동 28-6,서울특별시 관악구 행운1라길 17 . 서울봉천초등학교 (봉천동.봉천초등학교),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.48309001,126.9583231,2023-03-22
B000002353,서울옥수초등학교,초등학교,1967-03-06,공립,본교,운영,서울특별시 성동구 금호동4가 440-12,서울특별시 성동구 금호로1길 25 . 옥수초등학교 (금호동4가),7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2022-10-06,37.5461524,127.0220121,2023-03-22
B000002151,서울거여초등학교,초등학교,1967-11-23,공립,본교,운영,서울특별시 송파구 오금동 108,서울특별시 송파구 마천로25길 18 (오금동. 거여초등학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.50508433,127.1409011,2023-03-22
B000002142,서울남천초등학교,초등학교,1984-05-03,공립,본교,운영,서울특별시 송파구 마천동 53,서울특별시 송파구 성내천로 207 (마천동),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.50126873,127.1507951,2023-03-22
B000002321,서울보라매초등학교,초등학교,2005-05-06,공립,본교,운영,서울특별시 동작구 신대방동 488-1,서울특별시 동작구 여의대방로16길 30 . 서울보라매초등학교 (신대방동),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.49567494,126.916097,2023-03-22
B000002157,서울아주초등학교,초등학교,1987-04-24,공립,본교,운영,서울특별시 송파구 잠실동 115,서울특별시 송파구 올림픽로4길 59 . 서울아주초등학교 (잠실동),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.50558066,127.075764,2023-03-22
B000002119,서울삼광초등학교,초등학교,1945-11-01,공립,본교,운영,서울특별시 용산구 후암동 190-2,서울특별시 용산구 두텁바위로1나길 19 . 서울삼광초등학교 (후암동),7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2022-10-06,37.54732018,126.9767347,2023-03-22
B000001968,서울구로남초등학교,초등학교,1964-03-11,공립,본교,운영,서울특별시 구로구 구로동 253,서울특별시 구로구 디지털로27길 76 (구로동.구로남초등학교),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.48548314,126.890983,2023-03-22
B000002140,서울영풍초등학교,초등학교,1982-10-10,공립,본교,운영,서울특별시 송파구 거여동 12,서울특별시 송파구 오금로57길 15 . 서울영풍초등학교 (거여동),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.49600417,127.1429536,2023-03-22
