학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000008398,관악중학교,중학교,1982-03-01,공립,본교,운영,서울특별시 관악구 봉천동 100-569,서울특별시 관악구 남부순환로237길 60 . 관악중학교 (봉천동),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.48043661,126.9618525,2023-03-22
B000008204,상원중학교,중학교,1993-06-07,공립,본교,운영,서울특별시 노원구 상계동 632,서울특별시 노원구 수락산로 182 (상계동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.67154355,127.0595044,2023-03-22
B000008170,우신중학교,중학교,1974-05-23,사립,본교,운영,서울특별시 구로구 궁동 230,서울특별시 구로구 부일로 917 . 우신중학교 (궁동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.49596744,126.8267178,2023-03-22
B000008088,전농중학교,중학교,1968-03-09,공립,본교,운영,서울특별시 동대문구 전농동 58-1,서울특별시 동대문구 사가정로13길 71 (전농동.전농중학교),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.58126561,127.0597057,2023-03-22
B000008403,난우중학교,중학교,1984-04-23,공립,본교,운영,서울특별시 관악구 신림동 652-156,서울특별시 관악구 난곡로16길 32 . 난우중학교 (신림동),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.46671212,126.9227951,2023-03-22
B000008329,방원중학교,중학교,1994-03-01,공립,본교,운영,서울특별시 강서구 방화동 808,서울특별시 강서구 금낭화로 268 . 방원중학교 (방화동.방원중학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.57577439,126.8088127,2023-03-22
B000008211,상계중학교,중학교,1986-03-01,공립,본교,운영,서울특별시 노원구 상계동 195-5,서울특별시 노원구 노원로 398 (상계동. 상계중학교),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.65202094,127.0688583,2023-03-22
B000008275,문현중학교,중학교,2009-03-01,공립,본교,운영,서울특별시 송파구 장지동 838-3,서울특별시 송파구 충민로 99 (장지동. 문현중학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.4804857,127.1277763,2023-03-22
B000008330,염창중학교,중학교,1984-01-16,공립,본교,운영,서울특별시 강서구 염창동 85,서울특별시 강서구 양천로67가길 83 (염창동.염창중학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.55361042,126.8719674,2023-03-22
B000008270,오금중학교,중학교,1987-03-01,공립,본교,운영,서울특별시 송파구 오금동 34,서울특별시 송파구 오금로35길 20 (오금동.오금중학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.50495636,127.1284373,2023-03-22
B000008266,거원중학교,중학교,1998-03-01,공립,본교,운영,서울특별시 송파구 거여동 296,서울특별시 송파구 양산로2길 30 (거여동.거원중학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.48769975,127.1462266,2023-03-22
B000008143,이화여자대학교사범대학부속이화·금란중학교,중학교,1955-04-08,사립,본교,운영,서울특별시 서대문구 대신동 47,서울특별시 서대문구 성산로 520 (대신동),7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2022-10-06,37.56264282,126.9442141,2023-03-22
B000008326,송정중학교,중학교,1991-03-01,공립,본교,운영,서울특별시 강서구 공항동 768-1,서울특별시 강서구 남부순환로 121 (공항동.송정중학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.55373155,126.8153475,2023-03-22
B000008338,덕원중학교,중학교,1979-03-06,사립,본교,운영,서울특별시 강서구 내발산동 산58,서울특별시 강서구 강서로45길 91-44 (내발산동),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.54982514,126.8294725,2023-03-22
B000008194,방학중학교,중학교,1982-03-01,공립,본교,운영,서울특별시 도봉구 방학동 313,서울특별시 도봉구 시루봉로 188 . 방학중학교 (방학동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.66546957,127.0317439,2023-03-22
