합계,중구,남자,64018,2481,2127,2420,3307,4277,5113,6091,5380,5979,5158,5723,4996,3493,2787,2410,1302,613,251,95,21,1,62547,2397,2003,2212,3073,4253,4854,5829,5090,5696,5147,5551,5157,3563,2861,2411,1428,633,267,101,24,2,61164,2278,1930,1970,2850,4220,4750,5512,4956,5343,5140,5271,5255,3748,2919,2379,1531,685,295,109,27,2,60147,2178,1929,1751,2660,4138,4739,5242,5016,4955,5178,4967,5319,3998,2948,2306,1587,777,330,106,26,1,59933,2126,1910,1661,2504,3993,4886,5027,5142,4663,5243,4840,5337,4268,2995,2270,1719,851,361,110,28,2,59908,2008,1883,1628,2347,3810,5084,4950,5249,4493,5129,4862,5325,4502,3035,2307,1858,912,380,121,27,5,59818,1899,1876,1585,2189,3658,5214,4989,5227,4375,4881,4926,5275,4681,3161,2394,1903,1024,398,134,27,6,59536,1772,1852,1550,1976,3543,5289,4981,5051,4376,4636,5005,5127,4782,3380,2523,1943,1125,439,153,32,6,58739,1590,1788,1516,1756,3393,5214,5029,4817,4430,4359,5021,4913,4836,3653,2589,1947,1201,489,165,33,6,57923,1472,1685,1481,1667,3208,5073,5208,4632,4441,4063,4928,4717,4835,3906,2616,1919,1339,525,171,34,7
합계,중구,여자,63855,2411,2131,2266,3084,4129,4862,5825,4969,5264,4745,5394,4897,3620,3188,2913,2020,1236,633,214,51,7,62726,2277,2005,2079,2872,4139,4710,5604,4773,5078,4714,5248,5099,3654,3184,2922,2094,1298,684,238,52,6,61636,2160,1938,1891,2705,4130,4567,5334,4714,4832,4700,5072,5180,3780,3206,2891,2131,1372,725,256,52,7,61005,2089,1938,1740,2581,4064,4588,5147,4754,4588,4772,4814,5186,4023,3158,2818,2205,1450,758,274,53,9,61125,2061,1910,1704,2380,4035,4818,4993,4885,4406,4897,4690,5185,4225,3138,2750,2380,1516,792,298,56,13,61475,2004,1850,1675,2185,4045,5059,4954,5085,4203,4871,4731,5139,4420,3185,2762,2487,1587,839,320,64,15,61861,1890,1810,1605,2047,4047,5277,5023,5156,4079,4746,4798,5076,4624,3278,2846,2519,1685,904,362,79,13,61984,1711,1760,1543,1894,4062,5479,5050,5001,4089,4549,4860,4981,4730,3492,2952,2559,1779,990,405,92,11,61692,1512,1661,1528,1750,4061,5642,5105,4782,4129,4247,4952,4728,4809,3781,2950,2559,1882,1076,436,96,11,61284,1386,1576,1490,1699,3900,5673,5260,4576,4199,3969,4968,4514,4811,4002,2935,2557,2030,1156,467,106,16
합계,용산구,계,232676,9578,8897,10146,12217,14326,17666,22656,19939,22033,18126,18754,16107,11511,9902,9207,6164,3239,1559,536,99,18,229055,9169,8590,9504,11815,14330,16919,21853,18956,21378,18447,18415,16602,11639,10003,9103,6528,3425,1659,583,120,21,225431,8876,8239,8811,11359,14462,16599,20515,18541,20278,18734,17937,16907,12202,10121,8904,6695,3689,1786,625,133,24,221883,8527,8071,8192,10893,14322,16575,19210,18532,18978,19129,17220,16991,13054,10017,8592,6856,3985,1902,676,140,25,219547,7905,7860,7849,10318,13943,17202,18426,18760,17698,19512,16679,17044,13757,9878,8301,7189,4300,2023,718,165,25,219034,7342,7608,7610,9738,13736,18044,18178,19130,16673,19459,16742,17141,14318,9925,8246,7408,4609,2149,755,199,30,218821,6975,7390,7335,9227,13592,18623,18215,19156,16095,18983,17179,17055,14921,10107,8340,7369,4906,2278,823,223,35,219404,6548,7216,7168,8648,13540,19187,18519,18788,16188,18255,17808,16916,15452,10694,8500,7238,5102,2464,904,238,34,218386,6047,6984,6987,7983,13373,19393,19091,18158,16425,17112,18368,16508,15791,11518,8475,6997,5248,2692,979,230,35,215891,5647,6626,6749,7557,12809,19209,19985,17429,16548,15825,18579,15957,15878,12231,8398,6794,5484,2897,1040,218,37
합계,용산구,남자,113383,4859,4515,5237,6448,7059,8585,11246,9924,11117,9112,9180,7822,5398,4453,4132,2455,1175,485,152,31,4,111494,4647,4317,4875,6236,7035,8283,10860,9338,10786,9292,9030,8088,5492,4513,4074,2626,1289,502,170,40,5,109688,4527,4089,4518,6001,7051,8174,10214,9104,10219,9424,8861,8242,5790,4619,3967,2713,1413,533,183,43,6,107918,4398,4037,4193,5752,6953,8176,9553,9122,9474,9553,8574,8314,6246,4610,3822,2802,1511,592,189,46,6,106724,4100,3981,4006,5401,6767,8492,9187,9265,8736,9718,8322,8354,6651,4599,3646,3003,1590,663,194,48,7,106355,3815,3881,3871,5018,6614,8889,9106,9500,8191,9644,8347,8395,6978,4656,3620,3151,1698,727,197,55,8,106147,3634,3796,3712,4737,6447,9153,9086,9576,7898,9361,8542,8397,7288,4772,3709,3136,1843,782,208,69,7,106237,3393,3725,3611,4453,6361,9328,9239,9405,7951,8971,8800,8404,7545,5085,3809,3056,1950,846,229,74,6,105425,3130,3597,3509,4100,6238,9277,9500,9026,8137,8355,9012,8256,7732,5506,3832,2941,2029,912,267,67,7,103927,2919,3377,3413,3867,5889,9085,9903,8622,8267,7711,9071,7933,7804,5886,3842,2835,2150,986,308,58,6
합계,용산구,여자,119293,4719,4382,4909,5769,7267,9081,11411,10016,10916,9014,9574,8286,6114,5449,5075,3709,2064,1075,385,68,14,117562,4522,4273,4630,5579,7296,8636,10993,9618,10592,9156,9386,8514,6147,5490,5029,3902,2137,1157,413,80,16,115744,4349,4150,4293,5358,7412,8425,10301,9438,10059,9310,9076,8665,6412,5502,4937,3982,2276,1253,442,90,18,113966,4130,4034,3999,5142,7369,8399,9657,9411,9505,9576,8646,8677,6809,5408,4770,4055,2474,1310,487,95,19,112823,3805,3880,3843,4918,7177,8710,9239,9495,8963,9794,8357,8690,7106,5279,4655,4187,2711,1360,524,117,18,112679,3527,3727,3739,4720,7122,9155,9072,9630,8482,9816,8395,8746,7340,5269,4626,4257,2911,1423,559,144,23,112674,3341,3594,3623,4491,7145,9470,9130,9580,8197,9622,8637,8658,7633,5335,4632,4233,3063,1497,615,155,28,113167,3156,3491,3557,4195,7180,9860,9280,9383,8237,9285,9008,8512,7907,5609,4691,4182,3152,1618,675,164,28,112961,2918,3387,3478,3883,7135,10116,9591,9132,8288,8757,9356,8253,8059,6012,4643,4056,3219,1780,712,163,29,111965,2728,3249,3336,3690,6921,10124,10083,8807,8281,8114,9508,8024,8074,6345,4556,3959,3334,1911,733,160,31
합계,성동구,계,294447,12453,11772,13141,16317,20147,23273,28385,25634,27214,23127,24672,20472,14280,11887,10290,6261,3094,1397,505,114,17,292787,12388,11351,12267,15649,20445,22802,27647,24745,26752,23453,24389,21527,14618,12095,10411,6670,3366,1520,558,120,18,291572,12405,11030,11294,15085,20728,22579,26314,24647,25808,23768,23985,22390,15508,12444,10397,7090,3704,1657,598,126,20,292891,12494,11051,10508,14514,20768,22895,25559,25224,24649,24474,23450,23229,16872,12600,10404,7543,4103,1793,609,136,22,296599,12467,11038,10250,13793,20791,23988,25093,26295,23829,25243,23045,23972,18126,12723,10483,8192,4552,1928,616,156,24,300992,12285,10960,10184,13098,20961,25160,24962,27359,23090,25565,23389,24290,19350,13078,10646,8711,4961,2076,672,175,25,299044,11652,10867,9829,12250,20639,25514,24613,26998,22278,24928,23671,23941,20262,13431,10831,8862,5273,2257,754,176,24,291841,10620,10585,9310,11203,19866,25368,23851,25563,21810,23378,23434,23143,20782,14025,11034,8845,5547,2455,821,178,28,285433,9618,10204,9022,10239,18972,25039,23301,24136,21700,21753,23500,22145,21262,15018,11062,8809,5847,2709,888,183,32,280685,8907,9810,8804,9819,18107,24518,23177,22773,21820,20452,23558,21209,21485,15954,11018,8827,6301,2984,941,188,38
합계,성동구,남자,146825,6412,6022,6624,8360,10355,11698,14252,13144,14144,11806,12489,10068,6963,5531,4726,2609,1055,411,135,23,5,145649,6336,5819,6160,7956,10508,11429,13828,12644,13811,11955,12352,10591,7184,5670,4787,2805,1196,436,155,28,4,144796,6310,5612,5689,7616,10667,11333,13079,12607,13268,12101,12131,11119,7604,5865,4761,2997,1364,482,164,29,3,145183,6334,5614,5266,7334,10651,11557,12684,12842,12645,12370,11837,11655,8236,5951,4725,3233,1541,522,158,30,3,146526,6316,5641,5112,6951,10515,12161,12408,13292,12197,12662,11564,12077,8823,6017,4739,3570,1728,561,157,34,3,148052,6241,5606,5146,6512,10389,12689,12205,13820,11770,12813,11620,12225,9463,6205,4811,3817,1891,620,167,43,4,146552,5955,5530,5019,6044,10079,12803,11908,13617,11306,12470,11711,12027,9944,6393,4887,3889,2030,707,185,48,4,142673,5462,5382,4735,5521,9628,12760,11445,12877,11092,11583,11614,11589,10243,6673,4992,3866,2155,799,207,48,7,139214,4944,5185,4596,5022,9134,12589,11170,12152,11047,10732,11562,11069,10555,7132,5051,3797,2294,908,227,45,8,136548,4603,4980,4482,4801,8693,12262,11151,11377,11063,10131,11494,10569,10671,7582,5062,3779,2539,1010,250,44,9
합계,성동구,여자,147622,6041,5751,6518,7957,9792,11576,14133,12491,13071,11322,12183,10404,7317,6356,5564,3652,2039,986,370,91,12,147138,6052,5532,6107,7694,9937,11373,13819,12102,12941,11499,12037,10936,7434,6425,5624,3865,2170,1084,403,93,15,146776,6096,5418,5606,7469,10061,11247,13235,12040,12540,11667,11854,11272,7904,6579,5636,4093,2340,1175,434,97,17,147708,6161,5438,5242,7180,10117,11339,12876,12382,12004,12104,11613,11574,8636,6649,5679,4310,2562,1271,451,107,19,150073,6151,5397,5138,6843,10276,11828,12685,13003,11632,12581,11481,11895,9303,6706,5744,4622,2825,1367,459,122,21,152940,6044,5354,5038,6587,10572,12471,12757,13540,11320,12752,11769,12065,9887,6873,5836,4895,3070,1457,505,133,21,152493,5697,5337,4810,6206,10560,12712,12705,13381,10972,12458,11960,11914,10318,7038,5945,4973,3243,1550,569,128,20,149168,5158,5203,4575,5682,10238,12608,12406,12686,10719,11795,11820,11554,10539,7352,6043,4979,3392,1657,614,131,21,146220,4675,5019,4427,5218,9838,12450,12131,11984,10653,11022,11938,11076,10707,7886,6011,5012,3553,1801,661,139,24,144138,4304,4830,4322,5019,9415,12257,12026,11396,10757,10321,12064,10640,10815,8373,5956,5048,3762,1974,692,144,29
합계,광진구,계,364964,13936,13597,17420,22901,26862,33527,36743,29709,32643,29559,30818,24980,16792,13235,10522,6252,3216,1523,590,122,21,361147,13638,13086,16138,21792,27098,32454,36185,28733,31668,29799,30076,26089,17333,13689,10731,6807,3402,1651,626,134,22,356671,13295,12807,14748,20764,27253,31682,34657,28578,30349,29879,28994,26794,18511,14044,10830,7209,3706,1772,627,152,22,353272,12902,12665,13622,19608,27297,31615,33014,28865,28776,30165,27890,27404,19966,14123,10945,7646,4076,1886,621,164,27,351919,12284,12417,13242,18212,27123,32533,31492,29377,27463,30363,27238,27891,21081,14363,11156,8352,4454,2016,659,179,30,351215,11500,12180,12999,16945,26787,33788,30406,29816,26235,30036,27343,27826,22149,14797,11512,8911,4889,2158,724,188,31,348117,10494,11908,12544,15761,26298,34890,29648,29070,25197,29164,27562,27226,23290,15276,11921,9157,5366,2316,802,192,38,343783,9107,11488,12259,14399,26070,35975,29172,27355,24710,27864,27568,26348,24044,16401,12294,9299,5781,2530,876,207,41,338991,7841,10799,12035,13233,25466,36557,29111,25786,24494,26187,27712,25421,24615,17791,12407,9355,6185,2803,940,219,39,335713,7049,10032,11676,12884,24394,36339,29945,24433,24519,24729,27832,24871,24955,18809,12627,9515,6752,3077,1009,231,40
합계,광진구,남자,179846,7180,6913,9074,11882,13241,16269,18416,15039,16172,14646,14955,12140,8139,6377,5091,2619,1106,427,144,16,6,177570,7005,6641,8402,11172,13424,15676,18112,14518,15724,14619,14697,12622,8421,6562,5183,2934,1199,473,163,20,6,174996,6830,6525,7640,10609,13457,15351,17287,14395,15067,14570,14223,12922,8944,6723,5217,3190,1319,532,164,30,5,172884,6642,6467,7019,10040,13333,15339,16395,14536,14253,14688,13732,13187,9603,6707,5246,3458,1478,576,152,35,3,171707,6333,6359,6780,9332,13075,15764,15615,14758,13591,14776,13409,13393,10143,6800,5269,3811,1684,623,158,37,3,170849,5904,6276,6626,8681,12671,16410,15033,14886,13019,14612,13357,13431,10653,7032,5371,4071,1918,677,184,37,4,168870,5372,6133,6396,8050,12221,16974,14598,14451,12506,14248,13368,13256,11151,7263,5540,4186,2159,747,213,39,5,166230,4654,5881,6280,7312,11947,17355,14389,13566,12209,13683,13316,12909,11467,7793,5713,4249,2388,834,239,45,7,163518,4017,5518,6158,6689,11554,17505,14439,12766,12083,12868,13387,12519,11732,8430,5725,4269,2614,931,258,49,10,161751,3618,5163,5970,6456,11075,17296,14943,12099,12049,12138,13465,12230,11955,8900,5798,4313,2892,1055,276,53,12
