Building_Age,JS_Price,JS_BA,Population,UR,LC_index,CA_index,TC_index,SDT_index,HSP_index,Sell_Price,Crime_Rates,IR,Region_Name,Building_Use,YearMonth,Shortest_Distance_to_Subway,Shortest_Distance_to_School,Shortest_Distance_to_Univ
4,7000,14.4,508137,4.5,79.2,85.6,82.7,121.038496,75.7,11500,1.274719904,2.5,관악구,오피스텔,201402,728.5160251,490.6890677,401.8851732
33,45000,73.02,560257,3.2,89.1,94,90.3,112.5772286,91.2,99000,1.424301744,1.25,강남구,아파트,201612,994.8512625,227.1858778,4754.570771
9,36500,84.97,497056,3.1,93,97.4,93,102.5154457,100,46265,1.060605188,1.5,관악구,아파트,201711,2930.860724,403.171195,3803.098537
6,74000,130.16,554870,3.2,74.5,81.1,78.3,114.2539291,75.2,34000,1.176458716,3.25,강남구,아파트,201206,646.7627162,299.4871868,2349.635812
0,25000,84.99,359109,3.3,72.6,79.3,76.1,112.3646545,80,46911,1.198147893,3.25,동대문구,아파트,201106,1157.151997,254.6737167,435.4743005
5,140000,165.45,439276,3.9,79.4,85.9,83,120.2775291,76,139859.09,1.223452964,2.5,서초구,아파트,201403,733.542006,80.48711125,1061.666228
14,31000,84.99,419625,4,82.9,88.1,85.7,120.9302326,79.4,41550,1.241960036,1.75,구로구,아파트,201503,2070.097821,261.3100768,809.2224206
25,17000,59.39,587991,3,78.7,84.9,82.3,119.4775435,74.3,19842.86,1.222945213,2.5,노원구,아파트,201312,1190.128137,236.2142853,2414.456119
9,27000,59.93,355274,3.2,84.9,90,87.1,122.0035778,83.9,39000,1.262626263,1.5,동대문구,아파트,201509,328.0277734,535.5594414,1360.33535
6,45000,59.99,337801,4.2,98.5,100.1,99.4,108.3393764,135.7,105000,0.952623707,0.75,동대문구,아파트,202003,588.7226877,240.8039568,1145.866623
13,47250,84.96,571614,2.8,107.1,104.8,105.2,108.2660515,188.5,120000,0.671992935,0.75,강서구,아파트,202110,1499.923608,164.4613591,1787.527776
18,36000,74.54,557563,3.2,72.6,78.9,75.8,114.2666626,80.6,80566.67,1.153747082,3,강남구,아파트,201105,684.8042695,244.0309109,5897.893212
32,31000,91.54,553927,3.9,75.7,82.4,79.9,110.3919781,72.7,63000,1.421299934,2.75,강남구,아파트,201302,671.3432507,440.2783484,1678.8505
