Year,Month,Region_Name,Region_Code,Building_Use,Sell_Price,Sell_BA,Sell_PPA,Sell_PPP,Sell_Count,JS_Price,JS_BA,JS_PPA,JS_PPP,JS_Count,CR,BA_CR,PPA_CR,IR,UR,LC_index,CA_index,TC_index,SDT_index
2012,7,노원구,11350,아파트,24130.67,59.9,400.11,121.03,239,15212.58,62.42,242.1,73.24,786,63.04,104.21,60.51,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,노원구,11350,연립다세대,13208.36,36.41,415.99,125.84,47,9153.97,44.47,234.62,70.97,63,69.3,122.14,56.4,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,노원구,11350,오피스텔,14541.11,39.74,371.2,112.29,9,12768.75,49.73,264.64,80.05,16,87.81,125.14,71.29,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,도봉구,11320,단독다가구,45038.33,186.82,300.48,90.9,12,5933.98,59.57,107.91,32.64,103,13.18,31.89,35.91,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,도봉구,11320,아파트,26242.15,72.84,356.43,107.82,130,15827.23,71.66,222.93,67.44,303,60.31,98.38,62.55,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,도봉구,11320,연립다세대,15022.46,50.86,297.92,90.12,69,8476.92,48.29,178.35,53.95,78,56.43,94.95,59.87,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,도봉구,11320,오피스텔,15083.33,41.24,377.39,114.16,9,11500.0,51.91,221.27,66.93,11,76.24,125.87,58.63,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,동대문구,11230,단독다가구,41112.5,134.52,390.18,118.03,16,7317.72,49.24,167.09,50.55,237,17.8,36.6,42.82,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,동대문구,11230,아파트,34531.88,81.88,432.5,130.83,64,20829.55,75.6,281.99,85.3,197,60.32,92.33,65.2,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,동대문구,11230,연립다세대,16724.0,46.85,368.84,111.57,34,10895.0,51.08,232.9,70.45,60,65.15,109.03,63.14,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,동대문구,11230,오피스텔,11457.79,27.22,445.63,134.8,29,8738.1,29.29,307.92,93.15,21,76.26,107.6,69.1,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,동작구,11590,단독다가구,69276.32,167.74,497.7,150.55,19,8375.0,47.96,196.87,59.55,252,12.09,28.59,39.56,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,동작구,11590,아파트,46775.5,83.6,559.83,169.35,86,27857.27,82.45,346.56,104.83,358,59.56,98.62,61.9,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,동작구,11590,연립다세대,21573.61,57.64,395.71,119.7,62,13328.51,52.66,264.04,79.87,175,61.78,91.36,66.73,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,동작구,11590,오피스텔,13478.8,19.89,694.39,210.05,5,13166.67,38.88,336.35,101.74,6,97.68,195.48,48.44,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,마포구,11440,단독다가구,89915.11,183.32,604.0,182.71,36,8913.53,49.25,192.98,58.38,207,9.91,26.87,31.95,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,마포구,11440,아파트,56899.2,83.64,663.23,200.63,93,28620.25,78.28,371.47,112.37,321,50.3,93.59,56.01,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,마포구,11440,연립다세대,17516.56,41.88,497.63,150.53,93,11306.6,45.02,279.39,84.52,212,64.55,107.5,56.14,3.0,3.1,74.5,81.5,78.5,102.461258
