"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2001","동대문구","계",381121.5,20891.5,22858.5,20627.5,26383,36093.5,43256,38171.5,31428.5,31903.5,26390.5,21980.5,20367.5,16482.5,10710,6294,3882,2182,912,252.5,44.5,10
"2001","중랑구","계",453684,27360,32477,29579,33993.5,40168,45483.5,45240.5,42138.5,41942,32107,24304,20482.5,15427.5,9656,6007.5,3875.5,2178.5,914,283,50.5,16
"2001","성북구","계",455732,25254,27759.5,24588.5,31534,41438.5,49550,45306.5,38107,38334,31502,26845,25147.5,20293.5,13048,7835,4860.5,2661.5,1211,385,56.5,14.5
"2001","강북구","계",351699.5,18968.5,21301.5,19118.5,24953.5,32826.5,38860.5,33983,28693.5,29406.5,24527,21716.5,20377,15739,9237.5,5306,3427.5,2018.5,870.5,303.5,58.5,6
"2001","도봉구","계",371117.5,23112.5,26694.5,26520.5,29573.5,29211.5,33071.5,35816,34142.5,37403,27859.5,19186,15710,12545.5,8443.5,5449.5,3396,1865,831,241.5,32,12.5
"2001","노원구","계",639769.5,43234,47355.5,45538.5,52294.5,50040,54639,64012,59592.5,64091,48061,31419,24045.5,19469.5,14068.5,9831,6472,3567.5,1497.5,439,81,21
"2001","은평구","계",468568,27958,30845,28536,33897.5,39663.5,48422,47246,40085,41251,32930,26761.5,23681,19158.5,12076.5,7246,4536,2532,1268.5,395,56,23
"2001","서대문구","계",366804,22750.5,23018.5,19768.5,23626.5,31583,42141.5,39128,31374.5,30182,23529,19803,19016,16546.5,10680,6366,3873.5,2120.5,944.5,287,54.5,10.5
"2001","마포구","계",383224.5,23891.5,23090,19250.5,23725.5,34273,47490,43268.5,32579.5,30508,24312.5,20839.5,19348,16100,10639.5,6456,3977.5,2155,952.5,310.5,41,16
"2001","양천구","계",485563,27754.5,34775.5,36084,42993,42510.5,41532,42840.5,44193.5,50584.5,40284.5,27002,18435,12958,9130.5,6496.5,4221,2388.5,1018.5,301.5,49.5,9.5
"2001","강서구","계",521360,31404.5,35354,34897.5,42885,46930,51070,50026.5,46639,50945.5,39723,28521,20509.5,15058.5,10501.5,7415,5052.5,2793.5,1199.5,356.5,65.5,12
"2001","구로구","계",409213.5,26663,27186,23913,29586,37914,44291,42848.5,36023,36089,29572.5,23751.5,18503.5,13227.5,8331.5,5099,3284.5,1849,788.5,241,40.5,11
"2001","금천구","계",263453.5,16418.5,18608.5,16231,19325.5,23859.5,27747,27575,24936,24097,18182,14127,11681,8349,5217,3209,2085.5,1163,468.5,137,25.5,11
"2001","영등포구","계",406685,25930,26318,22609,27158.5,35799,46882,44475,35705.5,34970,27784.5,22615.5,19009.5,14935,9684,5767.5,3777.5,2030,888,292.5,45,9
"2001","동작구","계",411004,24887.5,25042,21487,26813,38273.5,51138.5,44584,33196.5,32870,26943,23633,21075,16544.5,10652.5,6205.5,3917,2285.5,1026.5,348.5,67.5,13.5
"2001","관악구","계",526084,31663,30571,26166,34669,52947,71578,58875,42327,40252,34635.5,30565.5,26453.5,19429,11229,6545,4233,2376,1106.5,384.5,57.5,21
"2001","서초구","계",395859,19292,21122,24427.5,31912.5,40187,45627.5,37311,29441,34316,32591.5,26801.5,19899.5,12560.5,7538,5144.5,3800,2301,1132.5,364.5,73.5,15.5
"2001","강남구","계",545491.5,25741,28354.5,34941,47713.5,56495.5,60999.5,49760.5,39441.5,49536,47801,36762.5,25416,15439,9332,6840.5,5426.5,3288,1601.5,501.5,77.5,22.5
"2001","송파구","계",659330,38883,43852,44707,54959.5,60569,66820.5,63649,56701,62601.5,53054,37903,26544,17843.5,11897,8183,5693.5,3381,1548,434.5,94.5,11.5
"2001","강동구","계",492895,27992.5,33093,34936,43348.5,45522,45242.5,44133,43240,50520,41364,28265,19138,12816.5,8579.5,6264.5,4505,2477.5,1054,326,60,17.5
"2002","서울특별시","계",10235315.5,570918.5,643194.5,636614.5,711117,931200,1056376,1062366.5,862435.5,927059,784075.5,584896.5,476778.5,388943.5,250576.5,155707,99641,57784,25716.5,8195,1401.5,318.5
"2002","종로구","계",182728,8167,10112.5,11294.5,12173.5,15546,18210,18095.5,14912,16286.5,13567.5,10345,9672,9123,6300,3930,2555.5,1502.5,659,216.5,52.5,7
"2002","중구","계",140575,7236.5,7865,7116.5,8088.5,12222,14770.5,15401,11826.5,11785.5,10168,8222,7554.5,6978,4699.5,3001,1933,1082.5,424,165,30.5,5
"2002","용산구","계",237843,12857.5,13272,12469,13674,20204.5,24819,26334.5,20204,20270.5,16746,13263.5,12389,11846,8339,5196,3182,1737.5,725.5,261.5,44.5,7.5
"2002","성동구","계",341074,21047,21821.5,19122.5,20255.5,29806.5,37209,39388,30594.5,29263.5,23173.5,18041,16166,14276.5,9386.5,5406,3217,1783.5,801.5,254.5,46.5,13.5
"2002","광진구","계",387310,22833.5,25320,24287.5,26028,35627.5,44760.5,43392,33777,34998,27884,19951.5,16153,13207.5,7963.5,4892.5,3249.5,1830.5,839,253,49,13
"2002","동대문구","계",381820,19774,22597.5,21067.5,24437,36477,41268,39200.5,31163.5,32474,27760,22199.5,19965,17667.5,11524,6650.5,4012.5,2270,965.5,289.5,45,12
"2002","중랑구","계",445526.5,24986,30704.5,29410.5,31218.5,40407.5,42939,44921,40111,41810,33619.5,24488.5,20225,16704,10261,6244.5,3900,2255.5,950.5,302.5,53,14.5
"2002","성북구","계",447205.5,23316,26661,24720,28804,40821,46465.5,45766.5,36659,38479,32465,26213.5,24274,21341,13794,8072.5,4910,2735,1235,403.5,56,14
"2002","강북구","계",356650,18656,21305,19814.5,23116,32807.5,37617,36219,28888,30093,25946,21774.5,20124,17403,10229,5700,3510.5,2151,910,318.5,61,6.5
"2002","도봉구","계",371585,21734,26012,26686.5,28136,30139.5,31411.5,36344.5,33026,37334.5,29909.5,19840.5,15858.5,13615.5,9095.5,5760.5,3529.5,1941.5,880.5,283.5,34,11.5
"2002","노원구","계",644278.5,41495,46576.5,46582,49465,51971.5,52202.5,65499,58071,64423,51750.5,32738.5,24417.5,20998.5,14971,10377.5,6724,3830.5,1615,464.5,85.5,20
"2002","은평구","계",468962,26488,30355.5,29140,31387.5,39963,46431,48728.5,39457.5,41673.5,34735,26703,23529,20458,13107,7696.5,4625,2654.5,1318,432.5,58,21
"2002","서대문구","계",364421,21425.5,22588.5,20184,22038.5,31478.5,39398,40058,30925.5,30611,24783,19465,18349.5,17424,11471,6659.5,3989,2213,991.5,306.5,52,9.5
"2002","마포구","계",377279,22144.5,22472,19587.5,21625.5,33629,44671.5,44326,31870.5,30591,25166.5,20328,18652.5,16735,11209,6695,3938.5,2260,1001.5,315.5,46.5,13.5
"2002","양천구","계",484431.5,26291.5,34438,37292.5,39946,42693,39783,43369,43085,51150.5,41846.5,27475,18728,13846.5,9535.5,6727.5,4276,2510.5,1067,307,51.5,12
"2002","강서구","계",524905,29933.5,34050.5,35383.5,40151,48440.5,50691.5,51661,44659.5,51257.5,42490,29530,21592.5,16376.5,11127,7627,5165.5,2979,1319.5,389,69.5,11
"2002","구로구","계",414346.5,25771.5,27012,24458,27400.5,38626,43208,44307,35578,36784,31494.5,24769,19119,14701,9136.5,5460.5,3370.5,1996,837,266.5,40,11
"2002","금천구","계",260944.5,15168.5,17886.5,16429,17843.5,23636.5,26195,27362.5,24245.5,24497.5,19172,14423.5,11757,9239.5,5621.5,3408.5,2095,1252.5,519,154.5,27,10
"2002","영등포구","계",407806.5,24648.5,25785.5,23083.5,25335,35697.5,44535.5,46031.5,35336,35540,29389.5,23175,19143,16062.5,10566.5,6077,3905,2213,932.5,293,46.5,10
"2002","동작구","계",404581.5,22938,24116,21635.5,24540.5,37710.5,48720.5,45356.5,32185,32641,27774.5,23307,20570.5,17500.5,11253.5,6452.5,3991.5,2353,1100,355.5,68,11.5
