Region_Name,Building_Age,Building_Use,JS_Price,JS_BA,Population,IR,UR,LC_index,CA_index,TC_index,SDT_index,HSP_index,Sell_Price,Crime_Rates,Shortest_Distance_to_Subway,Shortest_Distance_to_School,Shortest_Distance_to_Univ,YearMonth,Shortest_Distance_to_Park
영등포구,16,아파트,86100,126.75,372443.0,0.5,4.0,105.6,103.4,102.7,109.7212165,170.8,173000.0,1.042383789,174.63457821085944,274.6530994678299,3134.0715372540653,202104,444.20904765239464
강동구,31,아파트,13500,65.16,473861.0,2.5,4.5,79.2,85.6,82.7,121.038496,75.7,50000.0,1.12022471,661.795888795942,125.19118076877366,4886.458014786568,201402,786.6421346533871
서초구,34,아파트,33000,100.25,431841.0,2.75,3.9,75.7,82.4,79.9,110.3919781,72.7,75800.0,1.2234529640000027,588.8825723850786,449.14774773889945,1319.2851619732978,201302,994.7697058543092
서초구,46,아파트,20000,107.47,423950.0,1.75,4.0,95.6,99.3,97.5,73.64705882,117.2,400500.0,1.273709685,846.7956231522104,376.3825060366506,1548.3272881826003,201905,1487.9742690245166
중구,4,아파트,80000,59.98,120430.0,0.75,2.8,107.1,104.8,105.2,108.2660515,188.5,168500.0,2.17092733,581.1725129700532,104.76995397147297,842.5704879692405,202110,252.61828121256346
광진구,14,아파트,23000,59.91,364963.0,2.5,3.0,77.5,83.6,81.1,117.2777269,73.7,44500.0,1.6609473340000027,1402.614114389277,364.28981519920944,1813.8367689966847,201308,2040.0127757392856
송파구,0,오피스텔,33000,53.55,654241.0,1.5,3.2,84.9,90.0,87.1,122.0035778,83.9,27109.5,1.015461137,638.5613138525823,537.560395673698,4487.631297665399,201509,873.2380894715466
용산구,11,아파트,30500,84.98,234364.08,3.25,3.7,73.9,80.5,77.9,106.60865288199994,77.1,56500.0,1.4921921715700004,456.73399351960944,143.1018690431804,916.594376513507,201203,1403.775007853335
송파구,12,아파트,45000,27.68,662838.0,0.5,4.3,99.0,98.5,99.8,112.9172714,140.0,167833.33,0.80275876,290.67640326316655,40.45509270478124,3502.5001761340413,202006,1154.5593421986937
강동구,1,아파트,39000,59.23,433809.0,1.25,4.9,90.0,94.9,90.7,108.4289497,91.0,69000.0,0.967619601,874.7530594727165,237.36726190242518,3943.0189670709974,201702,939.9063060515964
양천구,27,아파트,25000,54.94,484474.0,2.5,3.5,79.9,86.1,83.7,109.8478066,75.7,51371.43,0.945980094,575.7047705494412,258.23516415366475,2396.840911179527,201406,1492.9973327566702
강남구,4,오피스텔,26000,25.84,537081.0,1.5,4.5,93.9,98.0,94.1,94.7869102,106.1,40333.33,1.372355252,640.0223821426255,295.34723882144056,2286.9987026677777,201803,409.6629822650711
중랑구,17,아파트,16500,49.77,412013.0,2.75,3.5,75.9,82.4,80.1,115.1916058,73.4,20663.64,1.244955359600002,531.2069556975817,121.97546653170656,1427.1733856630374,201303,526.530948258121
강남구,12,아파트,38000,59.88,554870.0,3.0,2.9,74.5,81.2,78.8,110.8477666,73.2,81500.0,1.4595351692,422.7577815489302,109.66330722490545,3324.8305529374,201209,1360.8911260079246
용산구,15,아파트,66000,114.69,229055.0,2.0,3.0,81.4,86.6,84.9,115.7564906,77.5,99000.0,1.520122922,736.6279810965933,180.4987301095637,1927.522131154603,201411,533.5347116027526
중랑구,33,아파트,30000,66.56,390233.0,0.5,4.0,99.6,98.8,100.0,117.4511224,147.2,34060.0,0.932521111,1166.6486232030973,189.05741259568498,973.4774037641519,202007,1217.039028149531
성동구,8,아파트,40000,84.73,291841.0,0.5,3.6,101.1,100.0,100.5,119.3338161,154.0,145433.33,0.786010216,646.5960447189108,364.62554643107717,2115.196363934497,202009,668.5413369371589
성북구,11,아파트,39000,84.97,431427.0,1.5,3.1,96.3,100.2,98.5,95.90196078,125.2,51700.0,0.632663653,1426.2894173108882,560.7503971129643,503.68730240712335,201909,1268.0095772413504
양천구,4,아파트,17551,84.86,480432.0,1.5,3.4,84.4,89.2,86.8,120.0805009,83.2,41375.0,0.925952435,2099.883200797075,200.70947939902678,2533.181279452664,201508,1465.1158331467357
강남구,9,아파트,30000,58.86,553927.0,2.5,3.1,76.8,83.2,80.8,111.1824015,73.5,33400.0,1.4513998018799998,924.3113184167519,571.9542772358787,2468.0986541758966,201306,1044.9083363775562
관악구,17,아파트,38000,59.83,489798.0,0.5,4.3,99.0,98.5,99.8,112.9172714,140.0,75083.82,1.03196725,623.899874671451,285.6608533677533,916.6362657610886,202006,1104.0457267431761
구로구,26,아파트,45000,80.01,400914.0,0.5,3.6,101.1,100.0,100.5,119.3338161,154.0,79000.0,0.965344703,261.5772765186483,196.35594174649185,1664.8339992552878,202009,1544.021954702426
양천구,33,아파트,79000,95.28,455764.0,1.5,3.9,95.7,99.7,97.9,83.64705882,122.2,156750.0,0.695242113,1245.6041286375068,380.5311235172233,2882.6265454431295,201907,511.925112168606
은평구,6,아파트,36000,59.99,486578.0,1.25,3.5,87.9,93.0,89.6,115.2250662,90.4,51950.0,0.907574954,764.7895558975878,211.4763071604365,2513.7890493190334,201609,443.6093974787565
송파구,0,아파트,31000,64.66,666641.85,3.25,3.7,73.9,80.5,77.9,106.47114496999995,77.1,57850.0,1.191436660999998,788.6529449543475,153.78702486127622,2116.8135138500315,201203,1103.4857969910418
도봉구,21,아파트,16000,71.98,358196.62,3.25,4.2,73.6,80.4,77.8,105.84248815399988,77.7,27925.0,0.8782385749999986,1520.5189049744445,232.90030121928683,1279.388783947897,201202,378.69514298940044
중랑구,23,아파트,37000,59.76,390233.0,0.5,3.7,101.8,100.6,100.6,125.0181028,155.2,60350.0,0.932521111,256.5876760665186,188.41818044367045,1954.2496522225833,202010,1759.1112059398808
서대문구,26,연립다세대,10000,45.96,308264.01,3.25,3.3,72.7,79.5,76.5,114.1580206719999,80.1,23950.0,1.1643720941299989,580.3795479030878,115.95231559740661,1085.237381709178,201107,329.69620636668475
중랑구,24,아파트,35000,49.93,390233.0,0.5,4.1,103.1,101.5,101.1,133.5264301,161.4,34550.0,0.932521111,140.28018813106678,269.4571975383496,1829.2336580331767,202012,256.62432851219523
강동구,8,아파트,9328,49.94,425410.0,1.25,3.1,97.5,100.5,98.8,102.1764706,129.5,77366.67,0.911464838,747.4289030851047,293.0626659779786,5348.5726331059295,201911,1064.9081715433156
노원구,24,아파트,11500,44.52,594568.0,2.75,2.9,75.3,82.1,79.4,109.2525068,72.1,17200.0,0.906348471759999,336.5006731950193,405.0843758679998,1035.8303166289322,201212,1887.4092157627824
마포구,30,아파트,36500,68.94,364219.0,0.5,4.0,106.3,103.7,103.2,110.2824041,173.8,138750.0,0.934811427,343.01829454556326,351.37715325388484,735.83054509085,202105,1503.786373808958
성북구,20,아파트,42000,114.75,431427.0,1.75,4.3,95.3,98.8,97.0,69.01960784,116.1,42000.0,0.632663653,453.7537986858226,370.4993643440005,865.1448628418127,201903,1152.7467827195428
성북구,15,아파트,17300,54.55,471766.0,2.5,3.0,77.5,83.6,81.1,117.2777269,73.7,28900.0,0.9673086078799992,954.4892284288939,385.5274953274605,802.0030985044973,201308,1951.892863146281
중랑구,16,아파트,12000,39.84,415245.0,3.0,3.1,74.5,81.5,78.5,102.461258,74.2,19100.0,1.233612562730002,140.28018813106678,269.4571975383496,1829.2336580331767,201207,256.62432851219523
노원구,26,아파트,11000,45.9,580904.0,2.5,3.9,79.4,85.9,83.0,120.2775291,76.0,24134.09,0.906398023,448.69994374475544,203.89752622246309,1283.8445939730634,201403,1733.7519357610083
강동구,12,아파트,84000,133.97,441732.0,0.5,3.4,102.6,101.3,100.8,128.8196959,158.1,124666.67,0.816382829,1129.9616921113823,219.58300050659406,3445.464835723849,202011,801.7125027861658
강동구,16,아파트,37000,84.9,461499.0,1.5,3.6,84.1,88.5,86.5,120.6171735,82.5,39112.5,1.131828689,455.6512822350598,360.2567384089329,3510.635680634704,201507,209.40283874844985
성북구,22,아파트,38000,84.86,432206.0,0.75,4.2,98.5,99.2,99.4,106.8940493,134.5,62200.0,0.574200995,664.0413060665932,370.0974797748147,1239.0443735418623,202004,699.6863645851971
양천구,9,아파트,90000,119.52,480432.0,1.75,3.9,83.3,88.3,85.9,122.2271914,80.2,117062.5,0.925952435,532.024855698747,226.7238422715183,2703.9976832164753,201504,1310.941422061958
노원구,31,아파트,32000,84.91,532511.0,1.75,4.4,95.5,98.8,97.2,71.09803922,116.1,53000.0,0.772934452,547.9284249042512,201.56211532941646,1135.968435082717,201904,1792.758043097573
노원구,25,아파트,8500,32.39,587991.0,2.75,3.4,75.4,82.3,79.7,107.7484047,72.4,16000.0,0.906348471759999,735.2572226946585,156.0901922213907,313.77097676927843,201301,867.3135094743224
서초구,33,아파트,32000,97.79,430021.3,3.25,3.0,72.9,80.1,77.6,107.55837675199994,77.8,100600.0,1.2124258591200017,235.36587689804054,289.62574759471954,926.4913307812621,201112,2204.1137042007886
성북구,-1,아파트,33000,59.99,431427.0,1.5,3.1,96.3,100.2,98.5,95.90196078,125.2,82479.62,0.632663653,1083.1674467333773,346.73367156150556,797.1087421704366,201909,996.3705461254406
강남구,23,아파트,30000,39.53,567007.0,1.5,3.1,85.2,90.7,87.4,122.7862254,84.4,53144.74,1.481194994,951.7861440558096,373.5033075351692,4651.933167614626,201510,1648.0959856361721
노원구,26,아파트,8000,31.98,587991.0,2.75,3.5,75.9,82.4,80.1,115.1916058,73.4,17337.5,0.906348471759999,244.30018600763935,129.80040770420283,455.4151981783276,201303,1345.440880954867
서초구,22,아파트,50000,84.69,429232.0,1.5,4.6,93.6,97.8,93.9,99.543379,104.8,89500.0,1.078594039,530.1332258353342,479.4108470399406,1807.3731247867036,201802,874.2861553830816
송파구,4,오피스텔,17000,24.9,651722.0,1.25,4.9,90.0,94.9,90.7,108.4289497,91.0,29400.0,0.830784313,547.6068086365453,578.2024283097238,4398.397861826026,201702,824.6120635668221
용산구,13,아파트,36000,84.69,229055.0,2.25,3.3,80.5,86.6,84.2,111.5487914,76.4,45505.0,1.520122922,547.5722539019903,414.76184329204574,838.8351748538786,201408,871.2944456713466
광진구,19,아파트,40000,84.91,356671.0,2.0,3.7,82.2,87.5,85.1,115.2504472,77.9,56387.5,1.574977344,255.58779922276693,371.1978494001051,1457.561768346159,201501,1521.5851596055636
중구,11,아파트,140000,205.62,120430.0,0.5,4.3,104.9,102.3,102.2,119.4605358,169.3,168666.67,2.17092733,290.80413887963505,547.6680048336394,646.6768429499355,202103,876.9492466855598
강남구,6,아파트,48000,59.61,556533.48,3.25,3.3,72.7,79.5,76.5,106.00873507799987,80.1,80083.33,1.4560446203,1012.7951705749152,244.33955021201766,2614.0050792395523,201107,1032.5412499106842
영등포구,28,아파트,30000,84.47,377432.0,2.0,3.0,81.4,86.6,84.9,115.7564906,77.5,41000.0,1.661699523,216.30942079695902,113.54717198831128,3926.1133427739483,201411,830.740903571803
강동구,7,아파트,31500,84.43,479183.0,2.5,2.6,78.3,84.5,82.1,119.3858845,74.5,38500.0,1.1202247100000011,465.9286759937128,556.1152586559283,1864.294029007054,201311,1215.0383012890086
동작구,6,아파트,63500,84.99,390521.0,1.5,3.7,94.5,98.5,95.1,89.61187215,110.2,100850.0,0.757233411,710.2555610144021,176.82903415583954,299.16201819310197,201807,1360.810685858733
마포구,13,아파트,29000,84.95,376908.0,2.5,3.1,76.8,83.2,80.8,111.1824015,73.5,42225.0,1.5984117945000014,264.98518949350216,191.0754492924083,672.0731918495231,201306,1096.1398409083051
노원구,32,아파트,15000,50.14,543267.0,1.75,3.4,94.7,98.6,96.5,87.29071537,119.1,45187.5,0.730990952,864.8238238316717,483.5025047869395,742.6137336386188,201812,2183.3052308086976
도봉구,25,아파트,23700,71.98,345443.0,1.25,3.6,86.7,92.1,89.2,115.7871199,86.6,29662.5,0.696030513,1520.5189049744445,232.90030121928683,1279.388783947897,201606,378.69514298940044
광진구,23,아파트,38000,59.96,348116.0,1.25,3.4,98.0,101.1,99.1,112.0392157,131.7,85750.0,1.092998921,579.3968259474988,139.38950990312733,894.1887243438902,201912,1850.2334733418397
서초구,4,아파트,91000,84.93,431841.0,2.5,3.0,78.7,84.9,82.3,119.4775435,74.3,158311.76,1.2234529640000027,330.9733436675422,184.13476967062547,617.812904422863,201312,2285.782324336538
동작구,24,아파트,34000,59.97,390350.0,1.5,3.9,95.7,99.7,97.9,83.64705882,122.2,63414.29,0.831474743,543.2107183961019,186.48863666009476,2446.0068490759904,201907,139.13920407320555
송파구,24,아파트,11500,39.69,662392.0,2.5,3.0,76.4,82.8,80.6,112.5114574,73.9,22159.09,1.191436660999998,849.5859650970409,576.895800125278,3245.944088403156,201305,636.0317095148947
송파구,13,아파트,72975,84.9,655395.0,0.5,3.2,107.1,104.0,103.7,119.982699,181.7,218218.75,0.709977183,216.60218783768644,212.77368036569567,2197.5655897449615,202107,1486.4907611915899
은평구,0,오피스텔,13000,17.14,471906.0,0.5,4.5,98.5,98.3,99.5,104.1001451,135.1,18054.0,0.700351002,653.7389348794275,420.04421772080275,2012.998965440798,202005,159.368661721607
성동구,2,아파트,150000,84.81,299044.0,1.25,3.1,97.5,100.5,98.8,102.1764706,129.5,226000.0,0.813000236,1121.0062079499282,256.31137829584156,2109.8715267862603,201911,551.9848050633251
노원구,19,아파트,9500,44.52,588021.8,3.0,4.3,72.5,78.6,74.9,108.96825377099988,81.7,15171.43,0.9062989205199988,351.3552501378968,180.07112891467082,384.9937016244685,201103,1189.0182935006635
강남구,26,아파트,42000,49.68,537081.0,1.5,3.7,94.3,98.5,94.9,86.26331811,108.6,72000.0,1.372355252,821.2911980248208,209.7526402866942,4682.429857728056,201806,536.3708899899225
송파구,9,아파트,53550,59.85,652993.0,1.75,3.0,108.4,107.8,108.5,94.39638601,180.4,113400.0,0.7099771830000001,758.8597907705889,169.8306762414495,4560.113695194943,202205,1356.7070437423354
성북구,20,아파트,28000,59.88,432108.0,1.5,3.6,94.6,98.4,95.4,98.28767123,121.5,48666.67,0.679492592,830.869557478105,406.0921497508506,719.36455045569,201809,1238.0336530258812
노원구,6,오피스텔,18000,69.03,588021.8,2.75,4.5,72.3,78.2,74.5,108.70157822599988,82.0,25300.0,0.9060173260399992,771.4586538204442,292.05245532372913,971.4590077614541,201102,1433.6798812765726
영등포구,18,아파트,42000,55.91,366258.0,1.25,4.1,98.3,101.4,99.3,112.3004354,132.7,97000.0,1.280663382,715.691400807051,250.75267091808,2557.8153290927144,202001,1140.9181161595232
용산구,1,오피스텔,13800,26.88,225431.0,1.75,3.9,83.3,88.3,85.9,122.2271914,80.2,17545.0,1.540887987,883.2745712859388,233.58641702567812,1320.4318777394974,201504,1463.1907310660893
강서구,22,아파트,35000,59.34,579138.0,0.75,4.2,98.5,99.2,99.4,106.8940493,134.5,54500.0,0.753540274,950.3736254969944,283.5700960726475,1021.799283600918,202004,1374.9786007527598
관악구,0,아파트,52500,84.93,493055.0,1.25,3.0,96.9,100.5,98.7,99.98039216,127.1,98750.0,1.02989558,320.86250239848107,215.36612340507355,924.908997120627,201910,1601.0755807167384
양천구,26,아파트,20000,56.76,484474.0,2.5,3.5,79.9,86.1,83.7,109.8478066,75.7,47100.0,0.945980094,254.78599283409704,351.610380889721,1565.8275462935924,201406,871.8368566349905
구로구,1,연립다세대,27000,53.42,400914.0,0.75,4.2,98.5,100.1,99.4,108.3393764,135.7,31300.0,0.965344703,1648.4207853463508,488.3737892029619,1197.8182976568391,202003,522.4871614715382
구로구,14,아파트,22000,84.93,421837.0,2.5,3.1,76.8,83.2,80.8,111.1824015,73.5,33333.33,1.178874327000002,441.2336361580405,385.94526886069417,1483.9487179465987,201306,1450.092492500526
중랑구,23,아파트,30000,84.08,406546.0,1.25,3.6,86.7,92.1,89.2,115.7871199,86.6,28407.14,1.212720454,358.5091965716825,565.7222622056632,2134.4406111924823,201606,462.16660212737446
구로구,30,아파트,27000,84.99,400902.0,1.25,3.4,98.0,101.1,99.1,112.0392157,131.7,44400.0,1.071304205,1000.3006245557377,296.9367937811154,713.8812375089736,201912,769.410144287434
도봉구,19,아파트,17500,66.48,357672.8,3.25,3.0,72.9,80.1,77.6,107.27892083099994,77.8,34766.67,0.8493544367999987,482.6526027863117,155.0298925419134,1383.2988832010694,201112,277.73466253810244
마포구,19,아파트,25000,49.8,376341.0,1.25,3.6,86.7,92.1,89.2,115.7871199,86.6,33335.71,1.502480256,406.3934195396314,230.54985329732114,953.150284708287,201606,1249.432987862862
구로구,34,아파트,30000,49.94,396843.0,0.75,2.7,107.1,104.3,104.5,119.8385236,187.8,83833.33,0.827708037,1092.0424181875974,376.4746585261397,1246.5157140470685,202109,2008.5776736574142
동대문구,0,아파트,17000,16.04,337801.0,1.25,4.1,98.6,101.0,99.5,109.6879536,134.6,22000.0,0.952623707,1005.8844051241833,299.5136754649325,576.3632064226334,202002,1185.7878096389184
노원구,18,연립다세대,5500,45.87,588021.8,3.25,3.3,72.7,79.5,76.5,108.39943102699992,80.1,13100.0,0.9069718437799992,736.3625899491497,80.92486058581176,219.67101262311778,201107,1694.322063364408
송파구,5,아파트,53000,84.99,662392.0,2.75,3.9,75.7,82.4,79.9,110.3919781,72.7,88267.39,1.191436660999998,290.67640326316655,40.45509270478124,3502.5001761340413,201302,1154.5593421986937
마포구,17,아파트,47250,59.92,365392.0,0.5,4.1,103.1,101.5,101.1,133.5264301,161.4,88780.0,0.965804042,1528.3232237725329,204.52844608688142,2849.7678541368505,202012,376.4344473664282
강동구,2,아파트,47250,73.57,456069.0,0.75,2.8,107.1,104.8,105.2,108.2660515,188.5,220250.0,0.741309232,587.0983798481516,199.94211191546162,5086.293194081358,202110,478.3607084841355
