Sell_Price,Sell_Count,JS_Price,JS_Count,CR,UR,LC_index,CA_index,TC_index,SDT_index,IR,Crime_Rates,Total_Pop,Univ_Counts,Park_Counts,School_Counts,Subway_Counts
17960.0,40,10121.34,164,56.35,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,475852,7.0,3,60,9
23993.92,74,14032.24,642,58.48,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,669058,1.0,7,89,28
15396.99,73,10178.66,232,66.11,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,492793,0.0,5,64,5
19532.69,26,10871.21,66,55.66,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,387175,0.0,5,44,11
42665.22,23,13084.35,115,30.67,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,235931,2.0,2,34,10
16107.57,181,10026.58,301,62.25,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,489536,1.0,7,66,13
24507.14,35,15502.6,77,63.26,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,161487,6.0,12,36,15
18232.14,14,13727.27,33,75.29,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,129204,2.0,4,31,23
17642.97,64,10813.05,118,61.29,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,415245,1.0,6,48,8
34076.47,34,18368.15,157,53.9,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,554870,1.0,7,77,21
20853.17,63,14245.41,196,68.31,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,484742,0.0,7,60,14
15329.93,140,8952.28,197,58.4,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,338041,1.0,4,34,3
15899.93,143,9930.97,268,62.46,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,561431,2.0,9,80,9
18298.84,86,11599.51,205,63.39,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,517095,1.0,2,55,4
23296.14,78,13396.86,191,57.51,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,366312,3.0,2,42,11
17788.75,80,9950.82,122,55.94,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,422946,3.0,4,54,7
17822.46,57,9842.5,80,55.23,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,239085,0.0,4,33,1
19886.84,38,10280.0,95,51.69,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,594568,7.0,2,93,13
14299.12,113,8600.7,143,60.15,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,359554,1.0,6,46,3
18730.0,30,11180.0,60,59.69,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,357595,5.0,4,47,6
20212.31,65,13506.95,187,66.83,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,397899,3.0,7,44,12
18808.57,70,12009.35,246,63.85,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,380669,3.0,5,45,16
16589.31,87,10910.32,126,65.77,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,308639,9.0,4,40,5
32162.96,27,19614.53,179,60.98,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,427540,3.0,6,50,12
21834.21,19,12664.52,62,58.0,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,295034,2.0,5,41,14
18154.55,77,9835.17,145,54.17,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,475852,7.0,3,60,9
23119.31,101,14079.14,604,60.9,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,669058,1.0,7,89,28
