호선,역명,구주소,도로명주소,위도,경도,Region_Name
6호선,신당,서울특별시 중구 흥인동 162-1 신당역(6호선),서울특별시 중구 다산로 지하260(흥인동),37.56731,127.0163823,중구
6호선,동묘앞,서울특별시 종로구 숭인동 316-3 동묘앞역(6호선),서울특별시 종로구 지봉로 지하24(숭인동),37.5753626,127.0154315,종로구
6호선,창신,서울특별시 종로구 창신동 20-8 창신역(6호선),서울특별시 종로구 지봉로 지하112(창신동),37.5753499,127.0137549,종로구
6호선,보문,서울특별시 성북구 보문동1가 127-1 보문역(6호선),서울특별시 성북구 보문로 지하116(보문동1가),37.5866501,127.0196841,성북구
6호선,안암(고대병원앞),서울특별시 성북구 안암동5가 146-1 안암역(6호선),서울특별시 성북구 고려대로 지하89(안암동5가),37.5860125,127.025563,성북구
6호선,고려대(종암),서울특별시 성북구 종암동 29-18 고려대역(6호선),서울특별시 성북구 종암로 지하1(종암동),37.5981288,127.0404024,성북구
6호선,월곡(동덕여대),서울특별시 성북구 하월곡동 35-1 월곡역(6호선),서울특별시 성북구 월곡로 지하107(하월곡동),37.5971779,127.0392309,성북구
6호선,상월곡(한국과학기술연구원),서울특별시 성북구 상월곡동 26-1 상월곡역(6호선),서울특별시 성북구 화랑로 지하157(상월곡동),37.6060997,127.0478098,성북구
6호선,돌곶이,서울특별시 성북구 석관동 349-8 돌곶이역(6호선),서울특별시 성북구 화랑로 지하243(석관동),37.611277,127.0580352,성북구
6호선,석계,서울특별시 노원구 월계동 25-2 석계역(6호선),서울특별시 노원구 화랑로 지하 347-1(월계동) ,37.6282394,127.0567599,노원구
6호선,태릉입구,서울특별시 노원구 공릉동 616-4 태릉입구역(6호선),서울특별시 노원구 동일로 지하 992-1(공릉동),37.6304722,127.0909904,노원구
6호선,화랑대(서울여대입구),서울특별시 노원구 공릉동 285-2 화랑대역(6호선),서울특별시 노원구 화랑로 지하510(공릉동),37.6280947,127.091262,노원구
6호선,봉화산(서울의료원),서울특별시 중랑구 신내동 643-1 봉화산역(6호선),서울특별시 중랑구 신내로 지하232(신내동),37.6109947,127.0937399,중랑구
6호선,신내,서울특별시 중랑구 신내동 19 신내역(6호선),서울특별시 중랑구 용마산로136길 33 신내차량기지,37.6190542,127.1073132,중랑구
7호선,도봉산,서울특별시 도봉구 도봉동 38-3 도봉산역(7호선),서울특별시 도봉구 도봉로 964-40(도봉동),37.6890338,127.0466673,도봉구
7호선,수락산,서울특별시 노원구 상계동 1132-9 수락산역(7호선),서울특별시 노원구 동일로 지하1662(상계동),37.6543386,127.0626961,노원구
7호선,마들,서울특별시 노원구 상계동 650 마들역(7호선),서울특별시 노원구 동일로 지하1530-1(상계동),37.6543386,127.0626961,노원구
7호선,노원,서울특별시 노원구 상계동 729 노원역(7호선),서울특별시 노원구 동일로 지하1409(상계동),37.6543386,127.0626961,노원구
7호선,중계,서울특별시 노원구 중계동 503-3 중계역(7호선),서울특별시 노원구 동일로 지하1308-1(중계동),37.6510125,127.0799977,노원구
7호선,하계,서울특별시 노원구 하계동 273-5 하계역(7호선),서울특별시 노원구 동일로 지하1196(하계동),37.6376443,127.0725093,노원구
7호선,공릉(서울과학기술대),서울특별시 노원구 공릉동 385-4 공릉역(7호선),서울특별시 노원구 동일로 지하1074(공릉동),37.6304722,127.0909904,노원구
7호선,태릉입구,서울특별시 노원구 공릉동 616-4 태릉입구역(7호선),서울특별시 노원구 동일로 지하 992-1(공릉동),37.6304722,127.0909904,노원구
7호선,먹골,서울특별시 중랑구 묵동 189-5 먹골역(7호선),서울특별시 중랑구 동일로 지하901(묵동),37.5976182,127.0790622,중랑구
7호선,중화,서울특별시 중랑구 중화동 50-3 중화역(7호선),서울특별시 중랑구 동일로 지하797(중화동),37.6005095,127.0781428,중랑구
7호선,상봉(시외버스터미널),서울특별시 중랑구 상봉동 100-9 상봉역(7호선),서울특별시 중랑구 망우로 297(상봉동),37.5967657,127.0860297,중랑구
