Sell_Price,Sell_Count,JS_Price,JS_Count,CR,UR,LC_index,CA_index,TC_index,SDT_index,IR,Crime_Rates,Total_Pop,Univ_Counts,Park_Counts,School_Counts,Subway_Counts
19373.24,21,11095.24,21,57.27,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,669058,1.0,7,89,28
23364.29,14,27389.74,39,117.23,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,492793,0.0,5,64,5
16122.2,46,15158.51,94,94.02,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,387175,0.0,5,44,11
18966.67,9,19727.27,11,104.01,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,235931,2.0,2,34,10
15012.5,8,6857.14,14,45.68,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,489536,1.0,7,66,13
24366.67,18,11833.33,6,48.56,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,161487,6.0,12,36,15
19416.67,9,11766.67,3,60.6,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,129204,2.0,4,31,23
14061.11,9,7937.5,8,56.45,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,415245,1.0,6,48,8
28365.03,35,30125.0,16,106.2,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,554870,1.0,7,77,21
14763.64,11,10000.0,14,67.73,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,484742,0.0,7,60,14
11155.0,10,8333.33,3,74.7,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,338041,1.0,4,34,3
13524.14,29,11418.52,27,84.43,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,561431,2.0,9,80,9
11402.69,13,8025.0,44,70.38,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,517095,1.0,2,55,4
17203.85,13,12173.33,15,70.76,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,366312,3.0,2,42,11
16942.94,34,13207.69,78,77.95,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,422946,3.0,4,54,7
12850.0,3,7617.65,17,59.28,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,239085,0.0,4,33,1
14964.29,14,12062.5,8,80.61,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,594568,7.0,2,93,13
13919.44,18,13458.33,12,96.69,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,359554,1.0,6,46,3
11811.16,32,8250.0,22,69.85,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,357595,5.0,4,47,6
19228.4,5,14250.0,6,74.11,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,397899,3.0,7,44,12
19076.23,31,16509.09,22,86.54,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,380669,3.0,5,45,16
17054.06,16,15687.5,8,91.99,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,308639,9.0,4,40,5
20784.55,40,17300.0,10,83.23,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,427540,3.0,6,50,12
14264.33,3,9913.33,15,69.5,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,295034,2.0,5,41,14
24034.0,1,7500.0,4,31.21,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,475852,7.0,3,60,9
20653.12,16,12446.15,13,60.26,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,669058,1.0,7,89,28
27265.0,10,30662.5,32,112.46,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,492793,0.0,5,64,5
24621.82,62,16226.0,100,65.9,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,387175,0.0,5,44,11
21450.0,6,16600.0,10,77.39,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,235931,2.0,2,34,10
12875.0,6,9709.09,11,75.41,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,489536,1.0,7,66,13
21963.16,19,13666.67,3,62.23,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,161487,6.0,12,36,15
16003.57,14,12500.0,3,78.11,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,129204,2.0,4,31,23
12450.0,2,8687.5,8,69.78,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,415245,1.0,6,48,8
28307.12,59,19310.53,19,68.22,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,554870,1.0,7,77,21
14499.47,17,12562.5,16,86.64,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,484742,0.0,7,60,14
11274.38,16,7875.0,4,69.85,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,338041,1.0,4,34,3
14405.83,36,9100.0,24,63.17,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,561431,2.0,9,80,9
